NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
farník	200	1#2	no	x	ík|ník	kínraf	fara	UNMOT	farní	deNother														no
brigádník	201	2#3	no	x	ík|ník	kíndágirb	brigáda	LOAN	brigádní	deNloan														no
domovník	203	2#3	no	x	ík|ník	kínvomod	domov	deNother	domovní	deNother														no
řeholník	207	2#3	no	x	ík|ník	kínloheř	řehole	UNMOT	řeholní	deNother														no
svobodník	212	2#3	no	x	ík|ník	kíndobovs	svoboda	UNMOT	svobodný	deNother														no
vodník	216	1#2	no	x	ík|ník	kíndov	voda	UNMOT	vodní	deNother														no
trosečník	264	2#3	no	x	ík|ník	kínčesort	troska	UNMOT	trosečný	deNother														no
loupežník	296	2#3	no	x	ík|ník	kínžepuol	loupež	deVaction	loupežný	deNother														no
komorník	306	2#3	no	x	ík|ník	kínromok	komora	UNMOT	komorní	deNother														no
hrobník	332	1#2	no	x	ík|ník	kínborh	hrob	UNMOT	hrobní	deNother														no
lesník	334	1#2	no	x	ík|ník	kínsel	les	UNMOT	lesní	deNother														no
divadelník	385	3#4	no	x	ík|ník	kínledavid	divadlo	deVother	divadelní	deNother														no
finančník	388	2#3	no	x	ík|ník	kínčnanif	finance	LOAN	finanční	deNloan														no
státník	491	1#2	no	x	ík|ník	kíntáts	stát	UNMOT	státní	deNother														no
služebník	569	2#3	no	x	ík|ník	kínbežuls	služba	deVaction	služební	deNother														no
hříšník	617	1#2	no	x	ík|ník	kínšířh	hřích	UNMOT	hříšný	deNother														no
živnostník	672	2#3	no	x	ík|ník	kíntsonviž	živnost	deAother	živnostní	deNother														no
kouzelník	740	2#3	no	x	ík|ník	kínlezuok	kouzlo	UNMOT	kouzelný	deNother														no
rolník	749	1#2	no	x	ík|ník	kínlor	role	UNMOT	rolní	deNother														no
stavebník	763	2#3	no	x	ík|ník	kínbevats	stavba	deVaction	stavební	deNother														no
horník	972	1#2	no	x	ík|ník	kínroh	hora	UNMOT	horní	deNother														no
vrstevník	1038	2#3	no	x	ík|ník	kínvetsrv	vrstva	UNMOT	vrstevný	deNother														no
tanečník	1073	2#3	no	x	ík|ník	kínčenat	tanec	UNMOT	taneční	deNother														no
řemeslník	1310	3#4	no	x	ík|ník	kínlsemeř	řemeslo	UNMOT	řemeslný	deNother														no
hudebník	2435	2#3	no	x	ík|ník	kínbeduh	hudba	UNMOT	hudební	deNother														no
právník	4302	1#2	no	x	ík|ník	kínvárp	právo	deAother	právní	deNother														no
zákoník	134	2	yes1	x	ík	kínokáz	zákon	deVother																yes
výstředník	20	2#3	yes1	x	ík	kíndeřtsýv			výstřední	deNother														yes
krejčík	23	1#2	no	x	ík	kíčjerk	krejčí	deVother																yes
hajzlík	77	2	no	x	ík	kílzjah	hajzl	UNMOT																yes
zvoník	97	1	no	x	ík	kínovz	zvon	UNMOT					zvonit	deNaction	i	imp	4	no	NA					no
viník	1188	1	no	x	ík	kíniv	vina	UNMOT	vinný	deNother			vinit	deNaction	i	imp	4	no	NA					no
smilník	26	1#2	no	x	ík	kínlims			smilný	UNMOT			smilnit	deAaction	i	imp	4	no	NA					no
skrblík	53	2	no	x	ík	kílbrks							skrblit	UNMOT	i	imp	4	no	NA					no
poručík	1797	2	yes1	x	ík	kíčurop							poručit	deVpref	i	per	4	yes	poroučet	deVsecimp	e	imp	4	no
plavčík	199	1#2	no	x	ík	kíčvalp							plavat	UNMOT	a	imp	1	no	NA					no
kuchtík	52	1	no	x	ík	kíthcuk							kuchtit	UNMOT	i	imp	4	no	NA					no
karbaník	54	2	no	x	ík	kínabrak	karban	UNMOT					karbanit	deNaction	i	imp	4	no	NA					no
čalouník	46	2	no	x	ík	kínuolač	čaloun	UNMOT					čalounit	deNaction	i	imp	4	no	NA					no
básník	4687	1#2	no	x	ík	kínsáb	báseň	UNMOT					básnit	deNaction	i	imp	4	no	NA					no
zvrhlík	103	2	yes1	x	ík	kílhrvz			zvrhlý	deVlpart														no
zpustlík	19	2	yes1	x	ík	kíltsupz			zpustlý	deVlpart														no
zmrzlík	6	2	yes1	x	ík	kílzrmz			zmrzlý	deVlpart														no
zbrklík	1	2	yes1	x	ík	kílkrbz			zbrklý	deVlpart														no
zbojník	128	1#2	yes1	x	ík	kínjobz			zbojný	deVother														no
zbohatlík	164	3	yes1	x	ík	kíltahobz			zbohatlý	deVlpart														no
zběhlík	1	2	yes1	x	ík	kílhěbz			zběhlý	deVlpart														no
záškodník	60	2#3	yes1	x	ík	kíndokšáz			záškodný	deNother														no
zastavárník	25	3#4	yes1	x	ík	kínrávatsaz	zastavárna	deVother																no
zapšklík	1		yes1	x	ík	kílkšpaz			zapšklý	deVlpart														no
zápecník	4	2#3	yes1	x	ík	kíncepáz			zápecní	deNother														no
zakrslík	16	3	yes1	x	ík	kílsrkaz			zakrslý	deVlpart														no
zákeřník	4	2#3	yes1	x	ík	kínřekáz			zákeřný	deNother														no
vzteklík	2	2	yes1	x	ík	kílketzv			vzteklý	deVlpart														no
vyzáblík	6	3	yes1	x	ík	kílbázyv			vyzáblý	deVlpart														no
výtvarník	1380	2#3	yes1	x	ík	kínravtýv			výtvarný	deVother														no
výtečník	111	2#3	yes1	x	ík	kínčetýv			výtečný	deVother														no
vychrtlík	2	3	yes1	x	ík	kíltrhcyv			vychrtlý	deVlpart														no
usedlík	106	3	yes1	x	ík	kíldesu			usedlý	deVlpart														no
uprchlík	1485	3	yes1	x	ík	kílhcrpu			uprchlý	deVlpart														no
ukrutník	6	2#3	yes1	x	ík	kínturku			ukrutný	deNother														no
svůdník	53	1#2	yes1	x	ík	kíndůvs			svůdný	deVother														no
současník	641	2#3	yes1	x	ík	kínsačuos			současný	deNother														no
sněmovník	4	2#3	yes1	x	ík	kínvoměns			sněmovní	deNother														no
směnečník	1	2#3	yes1	x	ík	kínčeněms			směnečný	deVother														no
směnárník	53	2#3	yes1	x	ík	kínráněms	směnárna	deNother	směnární	deNother														no
rozvědčík	55	2#3	yes1	x	ík	kíčděvzor	rozvědka	deVother																no
přičmoudlík	6	3	yes1	x	ík	kílduomčiřp			přičmoudlý	deVlpart														no
přeběhlík	91	3	yes1	x	ík	kílhěbeřp			přeběhlý	deVlpart														no
protikorupčník	2	5	yes1	x	ík	kínčpurokitorp			protikorupční	deAother														no
prostředník	694	2#3	yes1	x	ík	kíndeřtsorp			prostřední	deNother														no
proradník	2	2#3	yes1	x	ík	kíndarorp			proradný	deNother														no
propadlík	26	3	yes1	x	ík	kíldaporp			propadlý	deVlpart														no
poživačník	4	3#4	yes1	x	ík	kínčavižop			poživačný	deVother														no
potrhlík	2	3	yes1	x	ík	kílhrtop			potrhlý	deVlpart														no
poťouchlík	6	3	yes1	x	ík	kílhcuoťop			poťouchlý	deVlpart														no
posedlík	5	3	yes1	x	ík	kíldesop			posedlý	deVlpart														no
pokoutník	117	2#3	yes1	x	ík	kíntuokop			pokoutný	deNother														no
pokladník	177	2#3	yes1	x	ík	kíndalkop	pokladna	deVother	pokladní	deNother														no
podloudník	10	2#3	yes1	x	ík	kínduoldop			podloudný	deVother														no
pobočník	364	2#3	yes1	x	ík	kínčobop			poboční	deNother														no
oplzlík	2	3	yes1	x	ík	kílzlpo			oplzlý	deVlpart														no
opatrník	3	3	yes1	x	ík	kínrtapo			opatrný	deVother														no
odpadlík	183	3	yes1	x	ík	kíldapdo			odpadlý	deVlpart														no
odborník	10659	2#3	yes1	x	ík	kínrobdo			odborný	deNother														no
obšourník	4	2#3	yes1	x	ík	kínruošbo			obšourný	deVother														no
oborník	11	2#3	yes1	x	ík	kínrobo	obora	deVother																no
nevolník	105	2#3	yes1	x	ík	kínloven			nevolný	deAneg														no
nestoudník	4	2#3	yes1	x	ík	kínduotsen			nestoudný	deVother														no
nepřejícník	3	3#4	yes1	x	ík	kíncíjeřpen			nepřejícný	deAneg														no
námořník	1184	2#3	yes1	x	ík	kínřomán			námořní	deNother														no
námezdník	6	2#3	yes1	x	ík	kíndzemán			námezdní	deNother														no
náměsíčník	65	3#4	yes1	x	ík	kínčísěmán			náměsíčný	deNother														no
nádeník	178	2	yes1	x	ík	kínedán			nádenní	deNother														no
náčelník	2212	2#3	yes1	x	ík	kínlečán			náčelní	deNother														no
důstojník	4046	2#3	yes1	x	ík	kínjotsůd			důstojný	deVother														no
smrtelník	459	2#3	no	x	ík	kínletrms			smrtelný	deNother														no
svobodomyslník	1	5	no	x	ík	kínlsymodobovs			svobodomyslný	COMPOUND														no
vilník	1	1#2	no	x	ík	kínliv			vilný	deNother														no
zlolajník	1	2#3	no	x	ík	kínjalolz			zlolajný	COMPOUND														no
čtvrtláník	1	2	no	x	ík	kínáltrvtč	čtvrtlán	COMPOUND																no
kněžík	1	1	no	x	ík	kížěnk	kněz	UNMOT																no
pantatík	1	2	no	x	ík	kítatnap	pantáta	COMPOUND																no
referentík	1	3	no	x	ík	kítnerefer	referent	LOAN																no
snobík	1	1	no	x	ík	kíbons	snob	UNMOT																no
šamstřík	1	1	no	x	ík	kířtsmaš	šamstr	LOAN																no
špiclík	1	1	no	x	ík	kílcipš	špicl	LOAN																no
plynárník	2	2#3	no	x	ík	kínránylp	plynárna	deNother																no
urputník	2	2#3	no	x	ík	kíntupru			urputný	UNMOT														no
chromajzlík	2	3	no	x	ík	kílzjamorhc	chromajzl	deAother																no
šmudlík	2	2	no	x	ík	kíldumš	šmudla	UNMOT																no
lehkomyslník	3	4	no	x	ík	kínlsymokhel			lehkomyslný	COMPOUND														no
obojetník	3	3#4	no	x	ík	kíntejobo			obojetný	COMPOUND														no
lekárník	3	2#3	no	x	ík	kínrákel	lékárna	deNother																no
učedlník	4	3	no	x	ík	kínldeču			učený	deVnpart														no
věrolomník	4	3#4	no	x	ík	kínmolorěv			věrolomný	COMPOUND														no
limonádník	4	3#4	no	x	ík	kíndánomil	limonáda	LOAN																no
