NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
ukazatel	216	3	yes1	a	tel	letazaku							ukázat	deVpref	a	per	1	yes	no					yes
oznamovatel	11	4	yes1	ova	tel	letavomanzo							oznamovat	deVsecimp	ova	imp	3	yes	no					yes
jmenovatel	59	3	no	ova	tel	letavonemj							jmenovat	deNaction	ova	bip	3	no	NA					yes
dělitel	9	2	no	i	tel	letilěd							dělit	deNaction	i	imp	4	no	NA					yes
čitatel	22	2	no	a	tel	letatič							čítat	deViter	a	imp	5	no	NA					yes
činitel	1569	2	no	i	tel	letinič							činit	UNMOT	i	imp	4	no	NA					yes
živitel	106	2	no	i	tel	letiviž							živit	deAaction	i	imp	4	no	NA					no
žalovatel	1	3	no	ova	tel	letavolaž							žalovat	deNaction	ova	imp	3	no	NA					no
žadatel	1686	2	no	a	tel	letadaž							žádat	UNMOT	a	imp	5	no	NA					no
zvěstovatel	54	3	yes1	ova	tel	letavotsěvz							zvěstovat	deNaction	ova	imp	3	no	NA					no
zvelebovatel	1	4	yes1	ova	tel	letavobelevz							zvelebovat	deVsecimp	ova	imp	3	yes	no					no
zvelebitel	1	3	yes1	i	tel	letibelevz							zvelebit	deVpref	i	per	4	yes	no					no
zušlechťovatel	2	4	yes2	ova	tel	letavoťhcelšuz							zušlechťovat	deVsecimp	ova	imp	3	yes	no					no
zůstavitel	345	3	no	i	tel	letivatsůz							zůstavit	deVpref	i	per	4	yes	no					no
ztělesnitel	2	3	yes1	i	tel	letinselětz							ztělesnit	deAaction	i	per	4	yes	no					no
zřizovatel	577	3	yes1	ova	tel	letavoziřz							zřizovat	deVsecimp	ova	imp	3	yes	no					no
zprostředkovatel	426	4	yes2	ova	tel	letavokdeřtsorpz							zprostředkovat	deVpref	ova	per	3	yes	no					no
zpronevěřitel	1	4	yes3	i	tel	letiřěvenorpz							zpronevěřit	deNaction	i	per	4	yes	no					no
zpracovatel	416	3	yes1	ova	tel	letavocarpz							zpracovat	deVpref	ova	per	3	yes	no					no
zpodobitel	3	3	yes2	i	tel	letibodopz							zpodobit	deNaction	i	per	4	yes	no					no
zploditel	22	2	yes1	i	tel	letidolpz							zplodit	deVpref	i	per	4	yes	no					no
zpeněžovatel	1	4	yes1	ova	tel	letavožěnepz							zpeněžovat	deVsecimp	ova	imp	3	yes	no					no
zotročovatel	1	4	yes1	ova	tel	letavočortoz							zotročovat	deVsecimp	ova	imp	3	yes	no					no
zotročitel	1	3	yes1	i	tel	letičortoz							zotročit	deVpref	i	per	4	yes	no					no
zosnovatel	2	3	yes2	ova	tel	letavonsoz							zosnovat	deVpref	ova	imp	3	no	NA					no
zobrazovatel	2	4	yes1	ova	tel	letavozarboz							zobrazovat	deVsecimp	ova	imp	3	yes	no					no
znovuobjevitel	1	5	no	i	tel	letivejbouvonz							znovuobjevit	COMPOUND	i	per	4	yes	no					no
znevažovatel	1	4	yes2	ova	tel	letavožavenz							znevažovat	deVsecimp	ova	imp	3	yes	no					no
zneuživatel	1	4	yes2	va	tel	letavižuenz							zneužívat	deVsecimp	va	imp	5	yes	no					no
znesvětitel	1	3	yes2	i	tel	letitěvsenz							znesvětit	deVpref	i	per	4	yes	no					no
znesvěcovatel	1	4	yes2	ova	tel	letavocěvsenz							znesvěcovat	deVsecimp	ova	imp	3	yes	no					no
znečišťovatel	95	4	yes2	ova	tel	letavoťšičenz							znečišťovat	deVsecimp	ova	imp	3	yes	no					no
znečisťovatel	6	4	yes2	ova	tel	letavoťsičenz							znečisťovat	deVsecimp	ova	imp	3	yes	no					no
znatel	2	1	no	a<á	tel	letanz							znát	UNMOT	á	imp	5	no	NA					no
znásilňovatel	3	4	yes2	ova	tel	letavoňlisánz							znásilňovat	deVsecimp	ova	imp	3	yes	no					no
znárodňovatel	1	4	yes2	ova	tel	letavoňdoránz							znárodňovat	deVsecimp	ova	imp	3	yes	no					no
zmocnitel	15	2	yes1	i	tel	letincomz							zmocnit	deNaction	i	per	4	yes	no					no
zlepšovatel	17	3	yes1	ova	tel	letavošpelz							zlepšovat	deVsecimp	ova	imp	3	yes	no					no
zkulturňovatel	1	4	yes1	ova	tel	letavoňrutlukz							zkulturňovat	deVsecimp	ova	imp	3	yes	no					no
zkracovatel	2	3	yes1	ova	tel	letavocarkz							zkracovat	deVsecimp	ova	imp	3	yes	no					no
zkoumatel	2	2	yes1	a	tel	letamuokz							zkoumat	UNMOT	a	imp	5	no	NA					no
zíratel	1	2	no	a	tel	letaríz							zírat	UNMOT	a	imp	5	yes	no					no
zhotovitel	552	3	yes1	i	tel	letivotohz							zhotovit	deAaction	i	per	4	yes	no					no
zhoršovatel	1	3	yes1	ova	tel	letavošrohz							zhoršovat	deVsecimp	ova	imp	3	yes	no					no
zdobitel	1	2	no	i	tel	letibodz							zdobit	UNMOT	i	imp	4	no	NA					no
zcizitel	2	2	yes1	i	tel	letizicz							zcizit	deAaction	i	per	4	yes	no					no
zbudovatel	1	3	yes1	ova	tel	letavodubz							zbudovat	deNaction	ova	per	3	yes	no					no
zbožňovatel	3	3	yes1	ova	tel	letavoňžobz							zbožňovat	deAaction	ova	imp	3	no	NA					no
zbavitel	3	2	yes1	i	tel	letivabz							zbavit	deVpref	i	per	4	yes	no					no
zaznamenavatel	3	5	yes1	ava<áva	tel	letavanemanzaz							zaznamenávat	deVsecimp	áva	imp	5	yes	no					no
zaznamenatel	1	4	yes1	a	tel	letanemanzaz							zaznamenat	deVpref	a	per	5	yes	no					no
završitel	2	3	yes1	i	tel	letišrvaz							završit	deVpref	i	per	4	yes	no					no
zavlažovatel	5	4	yes1	ova	tel	letavožalvaz							zavlažovat	deVsecimp	ova	imp	3	yes	no					no
zatlačovatel	1	4	yes1	ova	tel	letavočaltaz							zatlačovat	deVsecimp	ova	imp	3	yes	no					no
zasvětitel	5	3	yes1	i	tel	letitěvsaz							zasvětit	deVpref	i	per	4	yes	no					no
zasvěcovatel	2	4	yes1	ova	tel	letavocěvsaz							zasvěcovat	deVsecimp	ova	imp	3	yes	no					no
zastrašovatel	3	4	yes1	ova	tel	letavošartsaz							zastrašovat	deVsecimp	ova	imp	3	yes	no					no
zastupitel	3700	3	yes1	i	tel	letiputsaz							zastoupit	deVpref	i	per	4	yes	no					no
zastavovatel	2	4	yes1	ova	tel	letavovatsaz							zastavovat	deVsecimp	ova	imp	3	yes	no					no
zásobovatel	7	4	yes1	ova	tel	letavobosáz							zásobovat	deVsecimp	ova	imp	3	yes	no					no
zásobitel	4	3	yes1	i	tel	letibosáz							zásobit	deNaction	i	bip	4	yes	no					no
zasahovatel	1	4	yes1	ova	tel	letavohasaz							zasahovat	deVsecimp	ova	imp	3	yes	no					no
zařizovatel	3	4	yes1	ova	tel	letavoziřaz							zařizovat	deVsecimp	ova	imp	3	yes	no					no
zapůjčitel	2	3	yes1	i	tel	letičjůpaz							zapůjčit	deVpref	i	per	4	yes	no					no
zapisovatel	126	4	yes1	ova	tel	letavosipaz							zapisovat	deVsecimp	ova	imp	3	yes	no					no
zaopatřovatel	7	5	yes2	ova	tel	letavořtapoaz							zaopatřovat	deVsecimp	ova	imp	3	yes	no					no
zanedbatel	1	3	yes2	a	tel	letabdenaz							zanedbat	deVpref	a	per	5	yes	no					no
zaměstnavatel	4246	4	yes1	ava<áva	tel	letavantsěmaz							zaměstnávat	deVsecimp	áva	imp	5	yes	no					no
zaměstnatel	1	3	yes1	a	tel	letantsěmaz							zaměstnat	deNaction	a	per	5	yes	no					no
zakončovatel	8	4	yes1	ova	tel	letavočnokaz							zakončovat	deVsecimp	ova	imp	3	yes	no					no
zakladatel	2941	3	yes1	a	tel	letadalkaz							zakládat	deVsecimp	a	imp	5	yes	no					no
zakazovatel	1	4	yes1	ova	tel	letavozakaz							zakazovat	deVsecimp	ova	imp	3	yes	no					no
zajišťovatel	4	4	yes1	ova	tel	letavoťšijaz							zajišťovat	deVsecimp	ova	imp	3	yes	no					no
zajistitel	8	3	yes1	i	tel	letitsijaz							zajistit	deAaction	i	per	4	yes	no					no
zachycovatel	1	4	yes1	ova	tel	letavocyhcaz							zachycovat	deVsecimp	ova	imp	3	yes	no					no
zachraňovatel	1	4	yes1	ova	tel	letavoňarhcaz							zachraňovat	deVsecimp	ova	imp	3	yes	no					no
zachovatel	3	3	yes1	a	tel	letavohcaz							zachovat	deVpref	a	per	5	yes	no					no
zahlazovatel	1	4	yes1	ova	tel	letavozalhaz							zahlazovat	deVsecimp	ova	imp	3	yes	no					no
zahajovatel	1	4	yes1	ova	tel	letavojahaz							zahajovat	deVsecimp	ova	imp	3	yes	no					no
zadržovatel	1	4	yes1	ova	tel	letavožrdaz							zadržovat	deVsecimp	ova	imp	3	yes	no					no
zadavatel	1045	3	yes1	va	tel	letavadaz							zadávat	deVsecimp	va	imp	5	yes	no					no
zabezpečovatel	1	5	yes2	ova	tel	letavočepzebaz							zabezpečovat	deVsecimp	ova	imp	3	yes	no					no
vzorkovatel	1	3	no	ova	tel	letavokrozv							vzorkovat	deNaction	ova	imp	3	no	NA					no
vzdělavatel	103	3	yes1	ava<áva	tel	letavalědzv							vzdělávat	deVsecimp	áva	imp	5	yes	no					no
vyzývatel	31	3	yes1	a	tel	letavýzyv							vyzývat	deVsecimp	a	imp	5	yes	no					no
vyzyvatel	104	3	yes1	a	tel	letavyzyv							vyzývat	deVsecimp	a	imp	5	yes	no					no
vyvolavatel	11	4	yes1	ava<áva	tel	letavalovyv							vyvolávat	deVsecimp	áva	imp	5	yes	no					no
vyvlastňovatel	1	4	yes1	ova	tel	letavoňtsalvyv							vyvlastňovat	deVsecimp	ova	imp	3	yes	no					no
vyvažovatel	1	4	yes1	ova	tel	letavožavyv							vyvažovat	deVsecimp	ova	imp	3	yes	no					no
vytyčovatel	1	4	yes1	ova	tel	letavočytyv							vytyčovat	deVsecimp	ova	imp	3	yes	no					no
vyšetřovatel	2168	4	yes1	ova	tel	letavořtešyv							vyšetřovat	deVsecimp	ova	imp	3	yes	no					no
vysvoboditel	1	4	yes1	i	tel	letidobovsyv							vysvobodit	deNaction	i	per	4	yes	no					no
vystavovatel	541	4	yes1	ova	tel	letavovatsyv							vystavovat	deVsecimp	ova	imp	3	yes	no					no
vystavitel	2	3	yes1	i	tel	letivatsyv							vystavit	deVpref	i	per	4	yes	no					no
vyslýchatel	2	3	yes1	a	tel	letahcýlsyv							vyslýchat	deVsecimp	a	imp	5	yes	no					no
vysílatel	17	3	yes1	a	tel	letalísyv							vysílat	deVsecimp	a	imp	5	yes	no					no
vysilatel	1	3	yes1	a	tel	letalisyv							vysílat	deVsecimp	a	imp	5	yes	no					no
vyrušovatel	1	4	yes1	ova	tel	letavošuryv							vyrušovat	deVsecimp	ova	imp	3	yes	no					no
vypůjčovatel	4	4	yes1	ova	tel	letavočjůpyv							vypůjčovat	deVsecimp	ova	imp	3	yes	no					no
vypůjčitel	1	3	yes1	i	tel	letičjůpyv							vypůjčit	deVpref	i	per	4	yes	no					no
vyprazdňovatel	1	4	yes1	ova	tel	letavoňdzarpyv							vyprazdňovat	deVsecimp	ova	imp	3	yes	no					no
vypravovatel	1	4	yes1	ova	tel	letavovarpyv							vypravovat	deVsecimp	ova	imp	3	yes	no					no
vypravitel	3	3	yes1	i	tel	letivarpyv							vypravit	deVpref	i	per	4	yes	no					no
vypisovatel	27	4	yes1	ova	tel	letavosipyv							vypisovat	deVsecimp	ova	imp	3	yes	no					no
vymahatel	5	3	yes1	a	tel	letahamyv							vymáhat	deVsecimp	a	imp	5	yes	no					no
vykupitel	58	3	yes1	i	tel	letipukyv							vykoupit	deVpref	i	per	4	yes	no					no
vykořisťovatel	38	5	yes1	ova	tel	letavoťsiřokyv							vykořisťovat	deVsecimp	ova	imp	3	yes	no					no
vykořenitel	1	4	yes1	i	tel	letineřokyv							vykořenit	deVpref	i	per	4	yes	no					no
vykonavatel	272	4	yes1	ava<áva	tel	letavanokyv							vykonávat	deVsecimp	áva	imp	5	yes	no					no
vykonatel	1	3	yes1	a	tel	letanokyv							vykonat	deVpref	a	per	5	yes	no					no
vykladatel	5	3	yes1	a	tel	letadalkyv							vykládat	deVsecimp	a	imp	5	yes	no					no
vyjednavatel	1	4	yes1	ava<áva	tel	letavandejyv							vyjednávat	deVsecimp	áva	imp	5	yes	no					no
vyjadřovatel	2	4	yes1	ova	tel	letavořdajyv							vyjadřovat	deVsecimp	ova	imp	3	yes	no					no
vychvalovatel	2	4	yes1	ova	tel	letavolavhcyv							vychvalovat	deVsecimp	ova	imp	3	yes	no					no
vychovatel	1040	3	yes1	a	tel	letavohcyv							vychovat	deVpref	a	per	5	yes	no					no
vyhotovitel	8	4	yes1	i	tel	letivotohyv							vyhotovit	deVpref	i	per	4	yes	no					no
vyhodnocovatel	3	5	yes1	ova	tel	letavocondohyv							vyhodnocovat	deVsecimp	ova	imp	3	yes	no					no
vyhlazovatel	1	4	yes1	ova	tel	letavozalhyv							vyhlazovat	deVsecimp	ova	imp	3	yes	no					no
vyhlašovatel	59	4	yes1	ova	tel	letavošalhyv							vyhlašovat	deVsecimp	ova	imp	3	yes	no					no
vydržovatel	2	4	yes1	ova	tel	letavožrdyv							vydržovat	deVsecimp	ova	imp	3	yes	no					no
vydražitel	15	3	yes1	i	tel	letižardyv							vydražit	deVpref	i	per	4	yes	no					no
vydavatel	1099	3	yes1	va	tel	letavadyv							vydávat	deVsecimp	va	imp	5	yes	no					no
volitel	39	2	no	i	tel	letilov							volit	UNMOT	i	imp	4	no	NA					no
vnímatel	90	2	yes1	a	tel	letamínv							vnímat	deVpref	a	imp	5	no	NA					no
vkladatel	52	2	yes1	a	tel	letadalkv							vkládat	deVsecimp	a	imp	5	yes	no					no
věznitel	118	2	no	i	tel	letinzěv							věznit	UNMOT	i	imp	4	no	NA					no
věřitel	1560	2	no	i	tel	letiřěv							věřit	deNaction	i	imp	4	no	NA					no
venčitel	3	2	no	i	tel	letičnev							venčit	deD	i	imp	4	no	NA					no
velitel	5683	2	no	i<e	tel	letilev							velet	UNMOT	e	imp	4	no	NA					no
velebitel	1	3	no	i	tel	letibelev							velebit	UNMOT	i	imp	4	no	NA					no
uživatel	11206	3	yes1	va	tel	letavižu							užívat	deVsecimp	va	imp	5	yes	no					no
uzdravovatel	2	4	yes1	ova	tel	letavovardzu							uzdravovat	deVsecimp	ova	imp	3	yes	no					no
utlačovatel	60	4	yes1	ova	tel	letavočaltu							utlačovat	deVsecimp	ova	imp	3	yes	no					no
utlačitel	1	3	yes1	i	tel	letičaltu							utlačit	deVpref	i	per	4	yes	no					no
utiskovatel	11	4	yes1	ova	tel	letavoksitu							utiskovat	deVsecimp	ova	imp	3	yes	no					no
utěšovatel	5	4	yes1	ova	tel	letavošětu							utěšovat	deVsecimp	ova	imp	3	yes	no					no
utěšitel	24	3	yes1	i	tel	letišětu							utěšit	deVpref	i	per	4	yes	no					no
ustanovitel	1	4	yes1	i	tel	letivonatsu							ustanovit	deVpref	i	per	4	yes	no					no
uspokojitel	1	4	yes2	i	tel	letijokopsu							uspokojit	deVpref	i	per	4	yes	no					no
usměrňovatel	3	4	yes2	ova	tel	letavoňrěmsu							usměrňovat	deVsecimp	ova	imp	3	yes	no					no
uskutečňovatel	5	5	yes1	ova	tel	letavoňčetuksu							uskutečňovat	deVsecimp	ova	imp	3	yes	no					no
uskutečnitel	1	4	yes1	i	tel	letinčetuksu							uskutečnit	deAaction	i	per	4	yes	no					no
určovatel	6	3	yes1	ova	tel	letavočru							určovat	deVsecimp	ova	imp	3	yes	no					no
upravovatel	9	4	yes1	ova	tel	letavovarpu							upravovat	deVsecimp	ova	imp	3	yes	no					no
upomínatel	1	4	yes2	a	tel	letanímopu							upomínat	deVsecimp	a	imp	5	yes	no					no
uplatňovatel	1	4	yes1	ova	tel	letavoňtalpu							uplatňovat	deVsecimp	ova	imp	3	yes	no					no
upisovatel	4	4	yes1	ova	tel	letavosipu							upisovat	deVsecimp	ova	imp	3	yes	no					no
upevnitel	1	3	yes1	i	tel	letinvepu							upevnit	deAaction	i	per	4	yes	no					no
umožňovatel	1	4	yes1	ova	tel	letavoňžomu							umožňovat	deVsecimp	ova	imp	3	yes	no					no
umlčovatel	1	4	yes1	ova	tel	letavočlmu							umlčovat	deVsecimp	ova	imp	3	yes	no					no
uložitel	1	3	yes1	i	tel	letižolu							uložit	deVpref	i	per	4	yes	no					no
ukazovatel	3	4	yes1	ova	tel	letavozaku							ukazovat	deVsecimp	ova	imp	3	yes	no					no
ujařmitel	1	3	yes1	i	tel	letimřaju							ujařmit	deVpref	i	per	4	yes	no					no
uchvatitel	33	3	yes1	i	tel	letitavhcu							uchvátit	deVpref	i	per	4	yes	no					no
uchovávatel	1	4	yes1	áva	tel	letavávohcu							uchovávat	deVsecimp	áva	imp	5	yes	no					no
uchovatel	10	3	yes1	ova	tel	letavohcu							uchovat	deVpref	ova	per	5	yes	no					no
udržovatel	10	4	yes1	ova	tel	letavožrdu							udržovat	deVsecimp	ova	imp	3	yes	no					no
udržitel	1	3	yes1	i<e	tel	letižrdu							udržet	deVpref	e	per	4	yes	no					no
učitel	11691	2	no	i	tel	letiču							učit	UNMOT	i	imp	4	no	NA					no
učinitel	1	3	yes1	i	tel	letiniču							učinit	deVpref	i	per	4	no	NA					no
uctívatel	2	3	yes1	va	tel	letavítcu							uctívat	deVsecimp	va	imp	5	yes	no					no
ubytovatel	44	4	yes1	ova	tel	letavotybu							ubytovat	deNaction	ova	per	3	yes	no					no
tvořitel	6	2	no	i	tel	letiřovt							tvořit	deNaction	i	imp	4	no	NA					no
tříditel	1	2	no	i	tel	letidířt							třídit	deNaction	i	imp	4	no	NA					no
trýznitel	59	2	no	i	tel	letinzýrt							trýznit	deNaction	i	imp	4	no	NA					no
trpitel	20	2	no	i<ě	tel	letiprt							trpět	UNMOT	ě	imp	4	no	NA					no
trestatel	1	2	no	a	tel	letatsert							trestat	UNMOT	a	imp	5	no	NA					no
trapitel	2	2	no	i	tel	letipart							trápit	UNMOT	i	imp	4	no	NA					no
tišitel	1	2	no	i	tel	letišit							tišit	deAaction	i	imp	4	no	NA					no
těšitel	8	2	no	i	tel	letišět							těšit	UNMOT	i	imp	4	no	NA					no
tazatel	296	2	no	a	tel	letazat							tázat	UNMOT	a	imp	1	no	NA					no
šlechtitel	83	2	no	i	tel	letithcelš							šlechtit	deNaction	i	imp	4	no	NA					no
školitel	168	2	no	i	tel	letilokš							školit	deNaction	i	imp	4	no	NA					no
šiřitel	79	2	no	i	tel	letiřiš							šířit	deNaction	i	imp	4	no	NA					no
šikovatel	122	3	no	ova	tel	letavokiš							šikovat	deNaction	ova	imp	3	no	NA					no
šiditel	1	2	no	i	tel	letidiš							šidit	UNMOT	i	imp	4	no	NA					no
svolavatel	12	3	yes1	ava<áva	tel	letavalovs							svolávat	deVsecimp	áva	imp	5	yes	no					no
svolatel	2	2	yes1	a	tel	letalovs							svolat	deVpref	a	per	5	yes	no					no
světitel	12	2	no	i	tel	letitěvs							světit	deAaction	i	imp	4	no	NA					no
sužovatel	1	3	yes1	ova	tel	letavožus							sužovat	deVsecimp	ova	imp	3	yes	no					no
stvořitel	479	2	yes1	i	tel	letiřovts							stvořit	deNaction	i	per	4	yes	no					no
střežitel	2	2	no	i	tel	letižeřts							střežit	deNaction	i	imp	4	no	NA					no
střadatel	72	2	no	a	tel	letadařts							střádat	UNMOT	a	imp	5	no	NA					no
stmelovatel	2	3	yes1	ova	tel	letavolemts							stmelovat	deVsecimp	ova	imp	3	yes	no					no
stlačitel	1	2	yes1	i	tel	letičalts							stlačit	deVpref	i	per	4	yes	no					no
stíhatel	1	2	yes1	a	tel	letahíts							stíhat	UNMOT	a	imp	5	no	NA					no
stěžovatel	150	3	yes1	ova	tel	letavožěts							stěžovat	deAaction	ova	imp	3	no	NA					no
stavitel	1241	2	no	i	tel	letivats							stavit	UNMOT	i	per	4	no	NA					no
spotřebitel	2181	3	yes1	i	tel	letibeřtops							spotřebit	deNaction	i	per	4	yes	no					no
spořitel	4	2	no	i	tel	letiřops							spořit	UNMOT	i	imp	4	no	NA					no
spojovatel	4	3	yes1	ova	tel	letavojops							spojovat	deVsecimp	ova	imp	3	yes	no					no
spisovatel	6446	3	yes1	ova	tel	letavosips							spisovat	deVsecimp	ova	imp	3	yes	no					no
spasitel	571	2	yes1	i	tel	letisaps							spasit	deNaction	i	per	4	no	NA					no
soutěžitel	11	3	yes1	i	tel	letižětuos							soutěžit	deNaction	i	imp	4	no	NA					no
snižovatel	1	3	yes1	ova	tel	letavožins							snižovat	deVsecimp	ova	imp	3	yes	no					no
snímatel	1	2	yes1	a	tel	letamíns							snímat	deVsecimp	a	imp	5	yes	no					no
smiřovatel	4	3	yes1	ova	tel	letavořims							smiřovat	deVsecimp	ova	imp	3	yes	no					no
smířitel	1	2	yes1	i	tel	letiříms							smířit	deNaction	i	per	4	yes	no					no
složitel	1	2	yes1	i	tel	letižols							složit	deVpref	i	per	4	yes	no					no
sledovatel	3	3	no	ova	tel	letavodels							sledovat	UNMOT	ova	imp	3	no	NA					no
slavitel	7	2	no	i	tel	letivals							slavit	deNaction	i	imp	4	no	NA					no
skladovatel	1	3	yes1	ova	tel	letavodalks							skladovat	deNaction	ova	imp	3	no	NA					no
skladatel	2689	2	yes1	a	tel	letadalks							skládat	deVsecimp	a	imp	5	yes	no					no
sjednotitel	29	3	yes1	i	tel	letitondejs							sjednotit	deAaction	i	per	4	yes	no					no
sjednocovatel	2	4	yes1	ova	tel	letavocondejs							sjednocovat	deVsecimp	ova	imp	3	yes	no					no
schvalovatel	17	3	yes1	ova	tel	letavolavhcs							schvalovat	deVsecimp	ova	imp	3	yes	no					no
schovatel	5	2	yes1	a	tel	letavohcs							schovat	deVpref	a	per	5	yes	no					no
shromažďovatel	2	4	yes1	ova	tel	letavoďžamorhs							shromažďovat	deVsecimp	ova	imp	3	yes	no					no
sestavovatel	10	4	yes1	ova	tel	letavovatses							sestavovat	deVsecimp	ova	imp	3	yes	no					no
sestavitel	6	3	yes1	i	tel	letivatses							sestavit	deVpref	i	per	4	yes	no					no
sepisovatel	3	4	yes1	ova	tel	letavosipes							sepisovat	deVsecimp	ova	imp	3	yes	no					no
sdělovatel	2	3	yes1	ova	tel	letavolěds							sdělovat	deVsecimp	ova	imp	3	yes	no					no
sběratel	1229	2	yes1	a	tel	letarěbs							sbírat	deVsecimp	a	imp	5	yes	no					no
řiditel	13	2	no	i	tel	letidiř							řídit	UNMOT	i	imp	4	no	NA					no
ředitel	19871	2	no	i	tel	letideř							řídit	UNMOT	i	imp	4	no	NA					no
řešitel	136	2	no	i	tel	letišeř							řešit	UNMOT	i	imp	4	no	NA					no
rušitel	14	2	no	i	tel	letišur							rušit	deNaction	i	imp	4	no	NA					no
ručitel	104	2	no	i	tel	letičur							ručit	deNaction	i	imp	4	no	NA					no
rozvratitel	2	3	yes1	i	tel	letitarvzor							rozvrátit	deVpref	i	per	4	yes	no					no
rozšiřovatel	3	4	yes1	ova	tel	letavořišzor							rozšiřovat	deVsecimp	ova	imp	3	yes	no					no
rozmnožovatel	2	4	yes1	ova	tel	letavožonmzor							rozmnožovat	deVsecimp	ova	imp	3	yes	no					no
rozmnožitel	4	3	yes1	i	tel	letižonmzor							rozmnožit	deVpref	i	per	4	yes	no					no
rozjasňovatel	1	4	yes1	ova	tel	letavoňsajzor							rozjasňovat	deVsecimp	ova	imp	3	yes	no					no
rozhodovatel	23	4	yes1	ova	tel	letavodohzor							rozhodovat	deVpref	ova	imp	3	yes	no					no
rozesílatel	1	4	yes1	a	tel	letalísezor							rozesílat	deVsecimp	a	imp	5	yes	no					no
rozdělovatel	1	4	yes1	ova	tel	letavolědzor							rozdělovat	deVsecimp	ova	imp	3	yes	no					no
roditel	2	2	no	i	tel	letidor							rodit	UNMOT	i	imp	4	no	NA					no
působitel	2	3	no	i	tel	letibosůp							působit	UNMOT	i	imp	4	no	NA					no
půjčovatel	19	3	no	ova	tel	letavočjůp							půjčovat	UNMOT	ova	imp	3	yes	no					no
půjčitel	3	2	no	i	tel	letičjůp							půjčit	UNMOT	i	per	4	yes	no					no
pisatel	352	2	no	a<á	tel	letasip							psát	UNMOT	á	imp	1	no	NA					no
přispívatel	4	3	yes1	va	tel	letavípsiřp							přispívat	deVsecimp	va	imp	5	yes	no					no
přispěvatel	200	3	yes1	va	tel	letavěpsiřp							přispívat	deVsecimp	va	imp	5	yes	no					no
připravovatel	4	4	yes1	ova	tel	letavovarpiřp							připravovat	deVsecimp	ova	imp	3	yes	no					no
přijímatel	4	3	yes1	a	tel	letamíjiřp							přijímat	deVsecimp	a	imp	5	yes	no					no
přihlašovatel	43	4	yes1	ova	tel	letavošalhiřp							přihlašovat	deVsecimp	ova	imp	3	yes	no					no
přesvědčovatel	1	4	yes1	ova	tel	letavočděvseřp							přesvědčovat	deVsecimp	ova	imp	3	yes	no					no
přestupitel	1	3	yes1	i	tel	letiputseřp							přestoupit	deVpref	i	per	4	yes	no					no
přerušovatel	1	4	yes1	ova	tel	letavošureřp							přerušovat	deVsecimp	ova	imp	3	yes	no					no
přerozdělovatel	1	5	yes1	ova	tel	letavolědzoreřp							přerozdělovat	deVsecimp	ova	imp	3	yes	no					no
přepisovatel	4	4	yes1	ova	tel	letavosipeřp							přepisovat	deVsecimp	ova	imp	3	yes	no					no
přemožitel	125	3	yes1	x	tel	letižomeřp							přemoct	deVpref	0	per	1	yes	no					no
překrucovatel	1	4	yes1	ova	tel	letavocurkeřp							překrucovat	deVsecimp	ova	imp	3	yes	no					no
překračovatel	1	4	yes1	ova	tel	letavočarkeřp							překračovat	deVsecimp	ova	imp	3	yes	no					no
překonavatel	1	4	yes1	ava<áva	tel	letavanokeřp							překonávat	deVsecimp	áva	imp	5	yes	no					no
překladatel	929	3	yes1	a	tel	letadalkeřp							překládat	deVsecimp	a	imp	5	yes	no					no
přechovávatel	1	4	yes1	áva	tel	letavávohceřp							přechovávat	deVsecimp	áva	imp	5	yes	no					no
představitel	5465	3	yes1	i	tel	letivatsdeřp							představit	deVpref	i	per	4	yes	no					no
předplatitel	182	3	yes1	i	tel	letitalpdeřp							předplatit	deVpref	i	per	4	yes	no					no
předkladatel	135	3	yes1	a	tel	letadalkdeřp							předkládat	deVsecimp	a	imp	5	yes	no					no
předčitatel	1	3	yes1	a	tel	letatičdeřp							předčítat	deVpref	a	imp	5	no	NA					no
předcvičovatel	1	4	yes1	ova	tel	letavočivcdeřp							předcvičovat	deVsecimp	ova	imp	3	yes	no					no
přebásňovatel	2	4	yes1	ova	tel	letavoňsábeřp							přebásňovat	deVsecimp	ova	imp	3	yes	no					no
přebásnitel	1	3	yes1	i	tel	letinsábeřp							přebásnit	deVpref	i	per	4	yes	no					no
prznitel	25	2	no	i	tel	letinzrp							prznit	UNMOT	i	imp	4	no	NA					no
proživatel	1	3	yes1	va	tel	letavižorp							prožívat	deVsecimp	va	imp	5	yes	no					no
provozovatel	2806	4	yes1	ova	tel	letavozovorp							provozovat	deNaction	ova	imp	3	no	NA					no
prostředkovatel	4	4	yes1	ova	tel	letavokdeřtsorp							prostředkovat	deNaction	ova	imp	3	no	NA					no
prosazovatel	9	4	yes1	ova	tel	letavozasorp							prosazovat	deVsecimp	ova	imp	3	yes	no					no
