verb 	 pdt_valency_frame 	 agent_noun
amputovat 	 v41bhA 	 amputář
archivovat 	 v41cgA 	 archivář
asfaltovat 	 v41cmA 	 asfalťák
bádat 	 v41dmA 	 badatel
barvit 	 v41eaA 	 barvič, barvář
básnit 	 v41eeA 	 básník
betonovat 	 v41ezA 	 betonář
blokovat 	 v41geA 	 blokař
bouchat 	 v41hdA 	 bouchač
bourat 	 v41hhA 	 bourač
brousit 	 v41igA 	 brusič
cementovat 	 v41kbA 	 cementář
cestovat 	 v41kpA 	 cestovatel
clít 	 v41lnA 	 celník
ctít 	 v41lvA 	 ctitel
čalounit 	 v41miA 	 čalouník
čichat 	 v41njA 	 čichač
danit 	 v41peA 	 daňař
darovat 	 v41pjA 	 darovník, dárce
dědit 	 v41qjA 	 dědič
dobývat 	 v41wgA 	 dobyvatel
dohlížet 	 v41xzA 	 dohlížitel, dohližitel, dohlížeč
dohodnout 	 v41ydA 	 dohodce
dochodit 	 v41ynA 	 důchodce
doporučovat 	 v41addA 	 doporučovatel
dozírat 	 v41ajgA 	 dozorčí, dozorce
drancovat 	 v41akfA 	 drancovník
dražit 	 v41aklA 	 dražitel
dřít 	 v41aljA 	 dříč
falšovat 	 v41apgA 	 falšovatel
filmovat 	 v41aqdA 	 filmař
financovat 	 v41aqmA 	 financovatel
flákat 	 v41aqrA 	 flákač
hádat 	 v41atlA 	 hádač, hadač
hanobit 	 v41atyA 	 hanobitel
hasit 	 v41augA 	 hasič
hladit 	 v41auzA 	 hladič
hlídat 	 v41avsA 	 hlídač
hlídkovat 	 v41avuA 	 hlídkař
hodovat 	 v41awsA 	 hodovník
holit 	 v41awwA 	 holič
hostit 	 v41axoA 	 hostitel
hrabat 	 v41ayfA 	 hrabač, hrabáč
hulit 	 v41azuA 	 hulič
chlácholit 	 v41bbaA 	 chlácholitel
chrápat 	 v41bbxA 	 chrápač
kácet 	 v41biuA 	 káceč
kalit 	 v41biwA 	 kalič
kárat 	 v41bjqA 	 karatel
kázat 	 v41bkdA 	 kazatel
klamat 	 v41bkpA 	 klamatel
kočovat 	 v41bmmA 	 kočovník
koledovat 	 v41bnhA 	 koledník
konejšit 	 v41bpqA 	 konejšitel
koupit 	 v41btrA 	 kupec
krájet 	 v41bujA 	 krejčí
kreslit 	 v41butA 	 kreslič
krmit 	 v41bvfA 	 krmič
kropit 	 v41bviA 	 kropič
křísit 	 v41bweA 	 křísitel
křtít 	 v41bwjA 	 křtitel
kšeftovat 	 v41bwkA 	 kšeftař
kuchat 	 v41bwlA 	 kuchař
lepit 	 v41bzoA 	 lepič
lichotit 	 v41cauA 	 lichotník
lisovat 	 v41cbcA 	 lisovač
luštit 	 v41ccrA 	 luštitel
lyžovat 	 v41ccwA 	 lyžník, lyžař
mapovat 	 v41cedA 	 mapovatel, mapovač
metat 	 v41cfxA 	 metař
milovat 	 v41cgmA 	 milovník, milec
mírnit 	 v41chaA 	 mírnitel
mlžit 	 v41chyA 	 mlžič
množit 	 v41cibA 	 množitel
modelovat 	 v41cilA 	 modelář
mrzet 	 v41cjvA 	 mrzák
mučit 	 v41ckaA 	 mučitel
mýt 	 v41ckpA 	 myč
nabízet 	 v41clwA 	 nabízeč
nadhazovat 	 v41cnxA 	 nadhazovač
nadržovat 	 v41cooA 	 nadržovatel
nahánět 	 v41cplA 	 naháněč
najímat 	 v41crmA 	 najímatel, nájemník
najíždět 	 v41crqA 	 nájezdník
