action_noun 	 imperfective_verb 	 pdt_valency_frame_ipf 	 number_frames_ipf 	perfective_verb 	 pdt_valency_frame_pf 	 number_frames_pf
pohled 	 pohlížet 	 v41fwzA, v41fwzB, v41fwzC 	 3 	 pohledět|pohlédnout 	 pohledět: -- ; pohlédnout: v41fwxA, v41fwxB 	 unknown: multiple_verbs_available
změna 	 změňovat 	 -- 	 0 	 změnit 	 v41rkdA, v41rkdB, v41rkdC, v41rkdD, v41rkdE 	 5
vývoj 	 vyvíjet|vyvinovat 	 vyvíjet: v41pgpA, v41pgpB; vyvinovat: -- 	 unknown: multiple_verbs_available 	 vyvinout 	 v41pgrA, v41pgrB 	 2
pohyb 	 pohybovat 	 v41fygA 	 1 	 pohnout|pohýbat 	 pohnout: v41fxcA ; pohýbat: -- 	 unknown: multiple_verbs_available
výroba 	 vyrábět 	 v41otdA 	 1 	 vyrobit 	 v41otrA 	 1
přístup 	 přistupovat 	 v41izpA, v41izpB, v41izpC, v41izpD, v41izpE, v41izpF 	 6 	 přistoupit 	 v41izjA, v41izjB, v41izjC, v41izjD, v41izjE, v41izjF 	 6
provoz 	 provozovat 	 v41hsaA, v41hsaB, v41hsaC 	 3 	 provodit 	 -- 	 0
průběh 	 probíhat 	 v41haaA, v41haaB, v41haaC, v41haaD 	 4 	 proběhnout 	 v41gzyA, v41gzyB, v41gzyC, v41gzyD 	 4
boj 	 bojovat 	 v41gsA, v41gsB, v41gsC 	 3 	 -- 	 -- 	 0
proud 	 proudit 	 v41hqqA 	 1 	 -- 	 -- 	 0
rozhovor 	 rozhovořovat 	 -- 	 0 	 rozhovořit 	 -- 	 0
úsměv 	 usmívat 	 -- 	 0 	 usmát 	 -- 	 0
snaha 	 snažit 	 -- 	 0 	 -- 	 -- 	 0
vznik 	 vznikat 	 v41pmrA, v41pmrB 	 2 	 vzniknout 	 v41pmsA, v41pmsB, v41pmsC 	 3
prodej 	 prodávat 	 v41hblA 	 1 	 prodat 	 v41hbiA 	 1
pokus 	 pokoušet 	 v41gbgA, v41gbgB 	 2 	 pokusit 	 -- 	 0
útok 	 útočit 	 v41navA 	 1 	 -- 	 -- 	 0
návrat 	 navracet 	 v41dgpA, v41dgpB 	 2 	 navrátit 	 v41dgsA, v41dgsB 	 2
trest 	 trestat 	 v41mcaA 	 1 	 -- 	 -- 	 0
koncert 	 koncertovat 	 v41bphA 	 1 	 -- 	 -- 	 0
úvaha 	 uvažovat 	 v41ncrA, v41ncrB, v41ncrC, v41ncrD 	 4 	 uvážit 	 v41ncpA 	 1
spotřeba 	 spotřebovat 	 v41lfdA 	 1 	 -- 	 -- 	 0
účast 	 účastnit 	 -- 	 0 	 -- 	 -- 	 0
odpor 	 odporovat 	 v41eggA, v41eggB 	 2 	 -- 	 -- 	 0
odchod 	 odcházet 	 v41ealA, v41ealB, v41ealC, v41ealD 	 4 	 odejít 	 v41dyrA, v41dyrB, v41dyrC, v41dyrD, v41dyrE, v41dyrF, v41dyrG 	 7
výchova 	 vychovávat 	 v41ockA, v41ockB 	 2 	 vychovat 	 v41ociA, v41ociB 	 2
nárok 	 nárokovat 	 -- 	 0 	 -- 	 -- 	 0
tanec 	 tančit|tancovat 	 tančit: v41lwnA; tancovat: v41lwmA 	 unknown: multiple_verbs_available 	 -- 	 -- 	 0
výzva 	 vyzývat 	 v41pjzA 	 1 	 vyzvat 	 v41pjqA 	 1
výměna 	 vyměňovat 	 v41ojzA, v41ojzB 	 2 	 vyměnit 	 v41ojyA, v41ojyB 	 2
zábava 	 zabavovat 	 v41pojA 	 1 	 zabavit 	 v41pohA, v41pohB 	 2
oslava 	 oslavovat 	 v41ezsA 	 1 	 oslavit 	 v41ezrA 	 1
přenos 	 přenášet 	 v41ifbA, v41ifbB, v41ifbC, v41ifbD, v41ifbE 	 5 	 přenést|přenosit 	 přenést: v41ifiA, v41ifiB, v41ifiC, v41ifiD, v41ifiE ; přenosit: -- 	 unknown: multiple_verbs_available
tok 	 téct 	 -- 	 0 	 -- 	 -- 	 0
reforma 	 reformovat 	 v41jhaA 	 1 	 -- 	 -- 	 0
dík 	 děkovat 	 v41rbA 	 1 	 -- 	 -- 	 0
hovor 	 hovořit 	 v41aybA, v41aybB, v41aybC, v41aybD, v41aybE, v41aybF, v41aybG, v41aybH, v41aybI, v41aybJ, v41aybK 	 11 	 -- 	 -- 	 0
zákaz 	 zakazovat 	 v41pwnA 	 1 	 zakázat 	 v41pwlA 	 1
hluk 	 hlučet 	 -- 	 0 	 -- 	 -- 	 0
nárůst 	 narůstat 	 v41czsA 	 1 	 narůst 	 v41czpA, v41czpB 	 2
souhlas 	 souhlasit 	 v41kypA, v41kypB, v41kypC 	 3 	 -- 	 -- 	 0
experiment 	 experimentovat 	 v41aojA 	 1 	 -- 	 -- 	 0
příkaz 	 přikazovat 	 v41ismA 	 1 	 přikázat 	 v41islA 	 1
debata 	 debatovat 	 v41qdA 	 1 	 -- 	 -- 	 0
